field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,consented_participant_information,,text,"Record ID",,,,,,,,,,,,,
dt1,consented_participant_information,,descriptive,"FOR TESTING THE FORMS AS SURVEYS:
1. Enter the email that you want to receive the baseline forms survey link on this form.
2. Set the form status as ""Complete"" and then Save this form. 
You should receive an email invitations for:
 - Baseline Survey
 - Trajectory Items Daily Day 1 Post-Op
 - Trajectory Items 6-Mo Post-Op Daily Day 1

When you complete the Trajectory Day 1 Surveys, you'll immediately receive an email with the links for Day 2
",,,,,,,,,,,,,@HIDDEN
guid,consented_participant_information,,text,GUID,,,,,,,,,,,,,@READONLY
nda_guid,consented_participant_information,,text,"NDA GUID",,,,,,,,,,,,,"@READONLY 20240709 Added this field"
screening_id,consented_participant_information,,text,"Screening ID",,,integer,,,,,,,,,,@READONLY
first_name,consented_participant_information,,text,"First Name",,,,,,y,,,,,,,
last_name,consented_participant_information,,text,"Last Name",,,,,,y,,,,,,,
patient_email,consented_participant_information,,text,Email,,,email,,,y,,,,,,,
mobile_phone_number,consented_participant_information,,text,"Mobile Phone",,,phone,,,y,,,,,,,
home_phone_number,consented_participant_information,,text,"Home Phone",,,phone,,,y,,,,,,,
contact_method,consented_participant_information,,radio,"Preferred Contact method:","2, E-mail | 1, Text | 0, Mobile/Home",,,,,,,,,,,,
contact_language,consented_participant_information,"Language Preference for Surveys and Alerts",radio,"<div class=""rich-text-field-label""><p>What language do you prefer to use for surveys?<br /><br />Spanish<span style=""font-weight: normal;""> is only approved for use by </span>Rush University Medical Center<span style=""font-weight: normal;""> </span><br /><br />English<span style=""font-weight: normal;""> is DEFAULT for Northshore and UChicago</span></p></div>","en, English | es, Spanish",,,,,,,,,,,,
reconsent06302022,consented_participant_information,"Re-consent Information",radio,"<div class=""rich-text-field-label""><p>Was this participant reconsented for the June 30, 2022 consent change related to 3-Month visit?<br /><em>This only applies if participant was consented prior to 7/6/2022 AND had not yet completed their 3-Month visit at that time.</em></p></div>","1, yes - participant has been re-consented | 0, no - participant still needs re-consent",,,,,,,,,,,,"20220706 - Added this field to flag participants that need to be re-consented. AHACKMAN"
downtime202108,consented_participant_information,"Fields below are for REDCap Admin use ",radio,"August 2021 TACC Server Downtime Notification: Send downtime alert to this participant?","0, No | 1, Yes",,,,,,,,,,,,@HIDDEN
maintcomp202108,consented_participant_information,,radio,"August 2021 TACC Server Maintenance Completed Notification: Send maintenance complete alert to this participant?","0, No | 1, Yes",,,,,,,,,,,,@HIDDEN
downtime202109,consented_participant_information,,radio,"September 2021 TACC Server Downtime Notification: Send downtime alert to this participant?","0, No | 1, Yes",,,,,,,,,,,,@HIDDEN
downtime20220621,consented_participant_information,,radio,"June 21 2022 TACC Server Downtime Notification: Send downtime alert to this participant?","0, No | 1, Yes",,,,,,,,,,,,@HIDDEN
sp_inclcomply,postconsent_study_plan_crf_v06,"<div class=""rich-text-field-label""><p>Confirm inclusion criteria:<br /><span style=""font-weight: normal;"">In order to be eligible for the study, an individual must meet all of the following criteria:</span></p></div>",radio,"Stated willingness to comply with all base study activities for the duration of the study.","1, yes | 0, no",,,,,,,,RH,,,,
sp_inclage1884,postconsent_study_plan_crf_v06,,radio,"Between the ages of 18 to < 85 years.","1, yes | 0, no",,,,,,,,RH,,,,
sp_inclsurg,postconsent_study_plan_crf_v06,,radio,"<div class=""rich-text-field-label""><p>Individuals diagnosed with knee osteoarthritis scheduled to undergo:</p> <ul> <li>a single primary partial;</li> <li>total knee replacement;</li> <li>conversion of a partial to total knee replacement for mechanical failure (aseptic loosening, implant fracture, instability), wear-related complications (osteolysis, synovitis) or component malposition;</li> <li>revision of a total knee replacement for mechanical failure (aseptic loosening, implant fracture, instability), wear-related complications (osteolysis, synovitis) or component malposition. </li> </ul> <p><br />(All surgical approaches including robotic-controlled and muscle-sparing techniques will be included for the study.)</p></div>","1, yes | 0, no",,,,,,,,RH,,,,
sp_exclarthkneerep,postconsent_study_plan_crf_v06,"<div class=""rich-text-field-label""><p>Confirm exclusion criteria are not violated, including MRI screening process:</p></div>",radio,"<div class=""rich-text-field-label""><p>Patient undergoing knee replacement for an <span style=""text-decoration: underline;"">inflammatory arthritic condition</span> such as rheumatoid arthritis or osteonecrosis.</p></div>","1, yes | 0, no",,,,,,,,RH,,,,
sp_exclinfdxjoint,postconsent_study_plan_crf_v06,,radio,"<div class=""rich-text-field-label""><p>Patient undergoing revision surgery with an <span style=""text-decoration: underline;"">infectious diagnosis involving the joint to be replaced</span> (as this will be a 2-stage procedure).</p></div>","1, yes | 0, no",,,,,,,,RH,,,,
sp_exclbilkneerep,postconsent_study_plan_crf_v06,,radio,"<div class=""rich-text-field-label""><p>Patient undergoing:</p> <ul> <li>bilateral knee replacements,</li> <li>planned staged bilateral knee replacements within 3 mo of each other, or</li> <li>is within 3 mo of a prior contralateral knee replacement.</li> </ul></div>","1, yes | 0, no",,,,,,,,RH,,,,
sp_exclnoreadspkenglish,postconsent_study_plan_crf_v06,,radio,"<div class=""rich-text-field-label""><p>Patient unable to provide informed consent; or unable to read/speak English or Spanish is applicable.</p></div>","1, yes | 0, no",,,,,,,,RH,,,,"20220908 Added ""or Spanish is applicable"" AHACKMAN"
